Cultist,Stealth,Influence,Endurance,Lore,Economic,Strength,Insanity,Position
Sonja Kelley,6.6,11.7,4.8,3.6,16.1,19.0,13.3,Enforcer
Marion Phillips,16.0,19.1,9.9,7.9,10.1,14.3,0.3,Enforcer
Alfred Blake,19.7,10.3,6.6,9.8,18.3,3.6,11.8,Advisor
Jim Robbins,14.9,16.1,15.6,9.1,0.7,1.8,0.9,Assassin
Lola Powell,15.7,6.0,18.8,1.3,2.1,14.6,11.9,Assassin
Willis Warren,8.7,16.2,16.4,13.0,14.0,6.6,16.4,Priest
Eloise Ortega,17.1,17.8,10.6,9.9,4.4,11.5,9.6,Enforcer
Edmund Garcia,12.1,5.3,2.5,19.9,19.7,8.3,11.8,Advisor
Rachel Holt,9.4,3.9,6.2,10.3,6.0,5.4,16.2,Priest
Natalie Carson,16.4,8.2,14.8,2.4,4.9,17.4,7.1,Enforcer
Boyd Vaughn,14.3,0.0,8.8,17.5,2.5,9.1,18.8,Assassin
Gerard Harmon,13.0,12.6,13.9,5.3,11.2,17.5,19.1,Enforcer
Deborah Herrera,12.7,4.1,18.2,14.9,0.0,18.7,19.8,Assassin
Hugo Bradley,2.9,6.9,15.9,8.5,19.9,13.1,19.2,Priest
Alma Richardson,7.0,17.2,16.4,17.4,8.3,2.9,11.6,Priest
Micheal Abbott,4.0,5.5,10.5,4.5,13.9,3.8,12.7,Priest
Jerald Ramos,8.9,5.3,12.5,7.5,14.3,19.4,1.6,Enforcer
Mona Stevenson,15.6,10.4,13.4,17.9,18.3,2.1,17.2,Accountant
Garry Baker,6.7,18.3,16.6,18.1,10.2,6.7,5.6,Accountant
Tammy Clarke,0.2,2.8,4.7,12.8,6.2,9.4,3.7,Accountant
Elbert Stevens,18.7,9.6,18.6,16.9,9.2,7.2,1.8,Accountant
Stanley Huff,11.5,6.1,13.1,18.4,16.3,3.4,11.0,Accountant
Maryann Allen,16.1,12.4,9.0,11.3,10.1,19.1,16.7,Enforcer
Israel Nunez,6.1,0.2,4.0,1.4,10.5,7.0,8.6,Assassin
Roberta Lucas,8.4,0.1,18.4,13.4,1.6,10.1,19.7,Assassin
Jamie Nash,0.6,7.2,19.3,11.5,2.7,18.0,5.4,Enforcer
Lance Roberts,1.7,9.4,11.4,1.6,16.2,12.5,1.8,Accountant
Maurice Reid,20.0,17.2,13.2,1.8,3.2,11.2,3.0,Enforcer
Julia Hopkins,18.6,1.1,19.7,4.3,8.6,9.1,0.3,Assassin
Kenneth Chandler,10.6,7.6,5.6,13.3,15.2,13.6,14.9,Advisor
Eleanor Harper,0.6,17.9,1.9,4.8,15.3,13.6,2.6,Advisor
Sammy Mason,2.1,7.2,17.4,12.4,3.6,9.7,1.4,Enforcer
Erin Jimenez,3.3,10.4,0.2,4.4,13.0,3.2,17.1,Recruiter
Gina Mitchell,18.7,5.3,15.2,17.7,0.7,15.8,6.4,Assassin
Adrienne Nichols,3.9,15.5,2.5,7.3,8.5,17.3,0.2,Enforcer
Hattie Taylor,4.6,0.4,18.8,11.8,1.7,4.4,4.6,Assassin
Shawna Waters,18.3,9.0,13.6,2.6,19.9,7.6,18.0,Assassin
Derrick Peterson,13.4,0.0,15.6,14.3,2.7,8.5,14.4,Assassin
Evan Romero,6.6,19.3,1.8,0.7,17.3,1.3,17.0,Recruiter
Everett Gomez,14.9,6.5,0.8,12.5,9.3,7.8,17.8,Recruiter
Diana Ballard,12.2,8.0,9.7,1.2,11.0,8.6,13.2,Assassin
Jennifer Gardner,1.4,7.2,19.1,14.2,12.5,15.3,1.3,Accountant
Natasha Patton,7.9,17.4,9.8,8.0,6.7,17.1,7.6,Enforcer
Rita Patrick,16.3,1.1,9.2,1.4,5.8,13.3,19.2,Assassin
Roger Sutton,11.3,10.1,0.8,15.6,20.0,3.7,18.8,Recruiter
Lorraine Lee,4.5,10.6,5.1,3.3,7.0,0.5,3.2,Recruiter
Nina Poole,16.4,13.1,7.4,14.5,16.1,15.3,16.5,Advisor
Lyle Glover,7.4,12.8,2.2,18.2,0.9,10.8,19.3,Priest
Theresa Woods,10.6,10.8,2.3,15.9,8.4,3.0,14.4,Recruiter
Lynn Howell,4.5,14.1,5.6,9.5,0.6,20.0,15.8,Enforcer
Dewey Hines,17.8,11.9,12.4,2.1,15.9,14.5,11.6,Assassin
Genevieve Soto,11.3,2.6,18.7,0.4,9.2,8.2,16.1,Assassin
Marshall Brady,16.3,2.8,2.0,0.0,6.1,12.6,4.6,Assassin
Alfonso Malone,6.2,14.6,19.5,18.3,13.3,6.7,18.4,Priest
Elijah Douglas,11.6,14.9,7.4,19.4,17.5,9.1,16.2,Advisor
Cheryl Benson,19.4,19.9,14.7,8.5,4.8,19.1,5.0,Enforcer
Randolph Norris,3.9,19.4,1.7,6.2,12.1,18.9,10.5,Enforcer
Nathaniel Paul,10.2,2.8,16.3,10.8,8.3,0.7,8.3,Assassin
Tonya Mills,8.7,18.3,15.4,14.9,9.9,13.1,5.5,Enforcer
Violet Blair,17.2,11.8,6.1,17.4,3.7,15.1,6.3,Advisor
Roderick Stone,8.9,14.3,8.0,11.9,9.2,13.2,3.3,Advisor
Kristina Daniel,1.7,3.4,1.2,11.5,1.0,17.5,15.6,Priest
Casey Sims,17.2,1.2,15.0,3.1,1.7,9.8,9.2,Assassin
Whitney Gilbert,19.1,20.0,14.9,13.9,13.0,1.7,12.6,Recruiter
Leon Haynes,3.5,2.4,12.6,5.2,2.0,5.4,4.4,Enforcer
Dwayne Gordon,16.2,0.3,11.0,8.0,15.2,18.3,19.8,Assassin
Micheal Vargas,1.4,8.7,15.0,11.8,16.2,9.5,1.5,Accountant
Marion Duncan,14.5,6.8,6.6,8.6,16.3,18.4,8.6,Assassin
Erik Stokes,0.0,0.4,8.7,1.0,17.1,0.3,10.0,Accountant
Ruth Haynes,0.7,10.3,16.4,19.6,7.8,16.4,14.7,Priest
Meredith Harvey,16.1,9.7,0.6,7.2,3.7,8.2,4.0,Advisor
Leslie Goodwin,0.4,19.1,13.3,16.1,9.7,13.1,11.6,Priest
Noah Benson,7.8,4.9,5.3,7.4,3.8,17.4,10.2,Enforcer
Olivia Banks,10.2,13.7,3.5,5.1,13.5,6.2,16.7,Recruiter
Lula Stone,2.3,3.5,18.3,15.7,4.8,17.4,12.7,Enforcer
Velma Hernandez,14.6,19.4,15.0,4.9,7.9,17.9,2.6,Enforcer
Alison Richardson,18.5,12.1,1.7,10.3,18.2,17.6,13.5,Advisor
Rufus Ingram,14.2,12.2,14.9,8.9,1.9,4.8,6.7,Assassin
Nellie Stevenson,5.0,0.2,13.4,18.8,12.4,3.1,18.4,Priest
Terry Hale,15.1,20.0,19.0,3.1,18.7,14.9,14.5,Enforcer
Holly Mack,7.7,16.8,5.8,18.2,15.1,5.6,16.4,Recruiter
Toby Myers,16.2,5.1,13.8,11.5,7.8,16.0,16.6,Assassin
Ben Kelly,0.4,16.0,3.4,13.4,1.3,6.1,6.2,Recruiter
Sam Welch,19.6,16.1,5.2,13.8,0.7,3.3,1.2,Advisor
Deanna Manning,4.1,1.2,19.8,1.7,2.9,12.3,9.2,Enforcer
Miranda Love,17.2,8.6,18.3,5.3,6.3,18.3,3.6,Enforcer
Dixie Gill,3.9,13.0,2.5,4.7,6.6,8.7,5.3,Recruiter
Lynette Weaver,0.4,12.5,7.5,20.0,10.5,6.7,8.0,Advisor
Jean Bowen,15.7,0.4,14.8,1.3,5.0,9.2,13.7,Assassin
Kelli Bowman,9.0,3.1,10.3,10.5,3.8,5.0,13.4,Assassin
Celia Cooper,12.4,12.7,3.3,9.4,10.9,13.7,4.3,Advisor
Faye Casey,16.6,8.8,6.2,18.8,0.4,8.5,10.8,Advisor
Horace Quinn,15.0,14.7,5.4,3.3,2.4,16.9,2.6,Enforcer
Lee Burke,8.5,14.2,10.4,7.6,17.8,10.9,10.3,Accountant
Doreen Malone,18.1,8.2,2.7,11.8,12.0,8.5,17.0,Advisor
Alice Allison,12.8,13.2,16.6,7.7,6.3,9.3,16.2,Assassin
Gloria Parsons,11.6,14.1,18.4,11.8,3.3,17.7,7.1,Enforcer
Shelia Richards,5.1,12.0,9.5,16.9,15.2,8.3,11.2,Advisor
William Jennings,3.9,17.4,15.0,4.1,5.4,0.0,1.1,Recruiter
Bennie Waters,19.3,8.2,13.7,1.2,14.5,0.8,11.8,Assassin
Kimberly Fowler,6.3,2.9,8.9,8.2,5.6,6.4,4.8,Assassin
Sherry Drake,9.0,6.8,10.8,6.3,19.2,2.9,12.0,Accountant
Herman Collier,6.8,6.1,4.7,19.2,17.8,2.7,10.7,Advisor
Lucia Douglas,6.5,15.2,16.3,5.1,18.8,17.2,7.6,Enforcer
Ramona Warren,15.6,5.4,9.6,17.8,0.2,7.7,8.1,Assassin
Brandi Bridges,1.2,19.3,19.0,19.3,6.7,18.4,11.5,Enforcer
Robin Santos,13.0,19.1,1.5,9.3,18.0,9.0,15.5,Recruiter
Jacqueline May,0.4,13.6,14.4,18.3,16.1,9.5,5.5,Accountant
Mamie Simon,6.3,19.8,9.5,14.3,0.0,4.2,5.8,Recruiter
Pam Smith,4.8,14.6,10.4,4.5,7.5,9.7,3.3,Enforcer
Alberta Garrett,6.8,15.4,13.8,5.9,15.0,16.6,16.3,Enforcer
Seth Mullins,19.9,11.2,10.4,19.9,18.6,12.9,17.0,Advisor
Billie Lyons,1.4,3.7,18.4,10.4,7.2,0.4,10.0,Priest
Cindy Brady,3.5,15.7,9.1,6.7,9.0,10.7,6.3,Enforcer
Jeanne Olson,0.1,7.8,12.2,1.7,12.0,1.6,18.1,Priest
Sue Kennedy,13.1,0.7,3.0,7.2,5.2,18.6,3.8,Assassin
Bradley Santiago,7.3,6.1,19.3,5.5,12.7,6.2,2.5,Accountant
Beatrice Grant,8.7,18.5,1.0,3.9,14.1,13.5,8.1,Advisor
Wilbert Fitzgerald,11.9,9.0,15.7,8.1,0.8,0.9,0.4,Assassin
Caleb Silva,10.3,1.9,19.8,5.5,6.8,0.3,9.0,Assassin
Ruby Patterson,19.4,18.2,4.1,9.8,6.7,15.1,14.6,Recruiter
Justin Peterson,9.9,2.2,19.4,0.7,13.8,17.3,3.7,Enforcer
Candace Wagner,9.6,16.8,9.4,9.1,16.5,15.9,13.1,Recruiter
Robyn Hill,3.6,19.4,10.7,6.8,3.9,0.2,18.7,Recruiter
Ernest Nunez,17.0,2.5,20.0,17.7,9.9,0.1,10.9,Assassin
Jan Henry,14.6,4.7,12.0,5.2,5.9,1.9,17.1,Assassin
Kellie Flores,19.5,16.6,4.3,10.9,5.9,12.1,3.1,Advisor
Shawn Colon,8.6,6.2,17.1,14.5,6.3,19.9,9.5,Enforcer
Max Stevens,19.6,19.7,16.5,14.4,8.1,3.7,0.7,Accountant
Paul Burton,10.7,16.9,0.2,11.4,13.6,4.5,17.5,Recruiter
Melody Gutierrez,11.5,0.4,9.8,0.9,6.2,2.7,19.1,Assassin
Terry Dixon,6.0,9.1,7.8,7.8,10.5,12.7,11.9,Enforcer
Tommy Sullivan,17.5,14.3,9.6,16.2,20.0,8.1,18.3,Recruiter
Tammy Riley,3.2,15.6,11.9,1.9,3.4,9.3,13.8,Enforcer
Teresa Wade,2.1,3.4,4.0,8.2,2.3,10.1,17.5,Priest
Joyce Stewart,11.1,8.1,1.6,17.8,1.2,2.8,10.5,Advisor
Lonnie Moreno,15.4,18.2,8.5,2.5,12.1,8.3,7.7,Recruiter
Catherine Conner,18.0,7.1,12.9,2.6,9.2,19.5,1.4,Enforcer
Angie Klein,14.5,5.2,5.2,0.5,19.8,5.0,19.8,Assassin
Cora Mcdaniel,6.1,11.9,0.2,9.3,13.9,4.0,0.2,Advisor
Mitchell Schneider,9.1,9.2,6.4,10.4,16.2,11.7,2.9,Accountant
Renee Baldwin,15.1,6.5,19.6,12.9,14.7,5.0,14.2,Assassin
Gilbert Farmer,0.7,6.6,1.2,18.0,8.1,6.3,0.1,Advisor
Abraham Mclaughlin,11.4,9.8,2.9,9.8,7.8,15.0,8.0,Advisor
Fannie Wallace,3.3,10.7,15.0,1.8,9.2,2.2,17.8,Priest
Kristine Meyer,10.7,12.0,12.8,4.5,7.9,8.5,2.5,Enforcer
Jay Martinez,12.3,3.6,12.5,17.3,15.8,12.9,9.4,Accountant
Rosemarie White,0.4,4.6,8.4,4.6,16.8,9.3,3.9,Accountant
Eleanor Sims,14.4,12.2,9.2,1.9,4.5,11.0,16.1,Enforcer
Nichole Saunders,3.8,0.8,19.8,17.1,14.9,11.7,8.1,Accountant
Pearl Holloway,12.3,16.2,0.6,11.6,16.5,2.2,19.5,Recruiter
Julian Guzman,8.9,1.3,14.2,0.2,0.2,1.6,12.6,Assassin
Tim Hart,5.0,10.2,17.2,4.4,17.8,19.4,1.4,Enforcer
Molly Newton,11.1,2.0,0.2,18.5,13.7,1.1,1.6,Accountant
Al Ford,1.4,9.9,9.3,9.4,9.7,16.4,12.8,Enforcer
Gladys Cunningham,19.9,2.6,4.8,1.5,17.0,9.1,14.3,Assassin
Antonio Hansen,13.3,19.5,1.3,13.1,19.1,14.1,18.5,Recruiter
Emanuel Huff,8.1,15.5,16.8,4.2,1.8,10.0,14.6,Enforcer
Valerie Morton,16.0,4.3,0.4,5.1,16.8,10.0,18.4,Assassin
Rachael Mcgee,9.7,0.7,13.1,17.9,15.6,7.3,13.3,Accountant
Teri Harrington,18.6,14.4,17.3,8.0,15.0,15.2,12.7,Assassin
Jeffery Brooks,14.6,0.0,5.8,5.2,13.1,18.5,8.5,Assassin
Julio Potter,11.5,6.7,2.6,0.3,10.6,17.2,6.2,Enforcer
Dale Holland,8.6,9.7,11.9,4.0,8.5,0.3,6.3,Accountant
Archie Castro,4.2,8.8,11.2,19.2,6.0,16.6,9.4,Priest
Caleb Bridges,6.0,9.1,14.5,14.8,10.6,14.4,5.6,Accountant
Kerry Norton,3.0,6.9,10.4,10.0,13.5,5.0,11.9,Priest
Eula Kennedy,2.9,17.4,4.5,0.3,10.8,3.7,6.5,Recruiter
Roman Webster,15.4,14.4,3.1,13.7,12.7,2.4,3.6,Advisor
Shawna Clarke,12.5,19.9,13.1,10.4,12.9,11.5,5.6,Advisor
Elijah Hill,2.1,18.6,10.4,12.5,19.3,15.9,6.8,Advisor
Elaine Jacobs,3.6,0.5,14.9,18.9,6.4,4.6,5.2,Accountant
Christopher Casey,18.5,18.5,8.2,1.2,14.5,15.4,8.7,Enforcer
Audrey Carter,13.5,0.9,8.3,19.8,16.5,11.1,20.0,Assassin
Bertha Russell,18.1,5.9,18.2,16.7,5.8,9.2,12.6,Assassin
Virginia Powell,10.5,13.6,12.0,1.7,17.7,13.8,2.5,Accountant
Jeanette Brock,0.6,14.6,19.3,9.5,0.7,0.0,7.1,Priest
Jacob Warren,7.3,1.3,1.2,3.7,19.6,17.2,6.4,Accountant
Dana Bishop,14.2,9.6,1.2,12.2,5.7,18.6,17.0,Enforcer
Madeline Fields,18.6,14.4,16.8,7.5,8.9,0.0,4.8,Accountant
Brandi Vasquez,13.0,12.2,1.2,6.8,13.7,8.1,17.7,Recruiter
Nora Bryant,18.7,8.8,19.7,8.7,1.3,8.3,3.2,Assassin
Delores Mcguire,9.1,19.7,7.6,12.4,4.2,9.7,10.1,Recruiter
Richard Padilla,19.0,18.1,1.6,18.1,1.9,12.2,19.2,Recruiter
Andres Pittman,1.4,2.8,17.6,0.9,12.5,4.9,17.8,Priest
Rosalie Lambert,11.6,8.4,14.1,1.3,17.6,9.0,16.0,Assassin
Ellen Francis,5.8,11.5,6.6,9.2,14.5,8.4,17.5,Recruiter
Orlando Jimenez,7.0,7.8,8.6,2.0,19.2,12.1,17.7,Priest
Eloise Brady,3.3,1.2,15.4,19.1,15.5,2.7,6.7,Accountant
Taylor Willis,10.1,17.9,19.1,5.4,10.4,8.7,3.9,Enforcer
Sarah Cortez,18.8,16.0,16.5,18.4,16.3,15.5,1.1,Accountant
Beth Franklin,7.3,11.1,0.6,3.0,3.4,7.6,1.3,Advisor
Constance Gilbert,6.8,6.7,18.6,4.1,9.5,10.0,8.9,Enforcer
Floyd Hopkins,4.3,3.6,6.3,4.3,1.0,18.3,4.1,Enforcer
Eunice Wells,15.6,19.9,0.7,3.1,6.5,19.1,4.5,Enforcer
Ella Nichols,14.4,18.1,8.6,5.9,5.1,2.4,4.5,Recruiter
Elsa Diaz,12.0,11.2,1.5,18.9,19.4,15.7,6.4,Advisor
Jean Morton,2.8,0.9,18.6,19.5,6.7,5.8,15.2,Priest
Kenneth Zimmerman,12.2,5.9,12.1,4.5,17.5,4.7,3.5,Accountant
Martha Hayes,0.8,2.8,7.5,4.9,16.5,6.3,3.0,Accountant
Carroll Lindsey,6.7,13.6,0.7,7.7,8.7,7.8,3.8,Advisor
Lynn Estrada,4.4,19.7,15.5,1.3,12.8,14.2,15.9,Enforcer
Arturo Cook,15.4,10.1,0.1,14.1,7.2,16.3,2.6,Advisor
Ramon Barnes,0.1,1.6,11.0,3.1,0.5,11.3,11.7,Enforcer
Hattie Tran,1.6,9.9,5.3,18.7,19.1,3.1,11.9,Advisor
Amanda Carlson,2.0,2.2,10.8,8.2,19.9,7.8,8.0,Accountant
Ernest Bush,17.0,14.8,17.5,14.2,19.9,4.9,1.2,Accountant
Henrietta Hamilton,11.9,11.7,2.5,11.7,9.5,16.9,13.8,Advisor
Lloyd Bennett,20.0,4.6,12.8,5.0,17.4,2.5,11.8,Assassin
Wayne Thornton,4.4,16.3,18.0,10.8,11.9,12.8,10.1,Enforcer
Jermaine Jennings,2.3,12.8,18.0,8.1,18.7,1.9,8.1,Accountant
Damon Mcbride,10.8,16.7,13.1,8.6,13.2,16.0,14.5,Enforcer
Janet Oliver,8.8,4.9,7.5,11.1,14.8,9.5,17.7,Priest
Olga Patton,4.5,17.0,14.7,10.9,9.6,10.0,3.7,Enforcer
Bernadette Buchanan,3.8,10.5,3.0,6.1,14.3,15.7,19.9,Priest
Oscar Evans,10.5,3.0,16.6,10.2,18.4,15.6,14.7,Assassin
Johanna Alvarado,17.3,0.9,10.2,2.4,7.0,6.4,14.1,Assassin
Dan Moody,17.5,1.9,6.0,6.6,7.9,4.4,9.0,Assassin
Walter Lyons,11.2,13.8,14.4,8.3,16.4,13.0,11.5,Accountant
Derek Hughes,16.1,16.7,15.9,4.2,8.1,9.0,2.4,Enforcer
Jake Peters,19.2,4.2,5.4,8.7,9.8,15.0,12.4,Assassin
Paula Cain,15.0,14.0,4.8,7.4,7.1,14.7,9.3,Enforcer
Hubert Swanson,6.9,9.1,17.9,3.1,7.1,17.5,14.8,Enforcer
Helen Patterson,3.7,1.9,4.3,11.6,4.5,19.9,19.1,Enforcer
Steve Lopez,13.6,4.6,17.9,14.8,10.0,6.7,10.1,Assassin
Roland Mccormick,1.3,17.5,4.7,9.1,5.2,5.7,16.3,Recruiter
Kristin Fuller,11.8,15.8,7.3,3.2,9.3,15.5,11.5,Enforcer
Salvatore Dixon,14.8,14.8,15.1,10.7,10.7,12.1,2.1,Accountant
Freddie Wilkerson,6.0,0.6,10.6,18.3,2.7,11.1,4.6,Accountant
Minnie Henry,17.1,18.5,2.9,9.6,18.0,9.1,19.4,Recruiter
Joanna Schneider,5.8,7.8,15.4,17.6,2.3,8.7,18.4,Priest
Sherri Davidson,12.6,13.5,14.4,17.8,13.0,0.7,16.1,Recruiter
Tami Obrien,4.1,9.4,6.2,15.5,4.1,1.6,0.4,Advisor
Alfredo Weber,9.1,7.7,5.4,8.4,12.2,3.4,16.6,Recruiter
Don Miller,13.7,19.6,14.8,1.4,13.0,9.5,17.0,Recruiter
Brent Vaughn,12.3,11.6,18.9,14.6,2.2,8.8,17.4,Assassin
Earnest Williamson,18.2,16.1,1.1,12.8,17.6,9.9,1.6,Advisor
Stewart Adkins,5.5,1.6,9.0,1.1,15.6,9.4,1.1,Accountant
Oliver Brown,16.4,19.0,1.6,6.9,18.0,12.1,7.8,Advisor
Gerald Hawkins,5.8,19.0,11.3,1.6,12.3,15.5,9.8,Enforcer
Jordan Ortega,14.7,17.8,14.0,1.5,0.7,11.9,6.0,Enforcer
Lydia Newton,7.6,3.1,19.8,17.7,17.0,2.2,17.0,Accountant
Beverly Ryan,3.4,11.9,3.9,6.8,20.0,7.1,12.4,Recruiter
Corey Murphy,4.2,15.3,9.9,2.9,6.7,8.8,16.6,Priest
Alfonso Edwards,0.0,11.1,14.4,16.0,5.1,5.4,7.0,Priest
Rose Norris,1.4,11.0,1.4,13.7,4.8,9.0,18.0,Priest
Estelle Torres,15.4,8.6,10.3,10.7,19.3,19.3,6.8,Accountant
Carmen Gibson,10.7,17.1,5.7,2.0,13.9,12.0,3.9,Advisor
Jeffrey Sandoval,12.5,1.8,11.1,10.3,19.6,4.9,2.4,Accountant
Nichole Mack,2.2,19.7,17.6,10.2,13.8,19.1,16.0,Enforcer
Kara Thompson,9.9,10.1,7.1,14.6,1.2,7.4,12.9,Priest
Gary Houston,13.0,0.4,7.1,1.0,9.7,5.0,7.9,Assassin
Sonya Hoffman,16.1,5.0,7.6,4.1,12.2,17.7,9.7,Assassin
Everett Castillo,8.1,16.8,14.2,18.3,4.7,14.0,12.5,Priest
Sheldon Burton,15.3,6.9,8.7,7.4,13.2,8.4,9.0,Assassin
Dianna Tate,14.4,11.5,4.3,9.0,13.4,14.6,4.0,Advisor
Earl Myers,18.2,0.0,13.1,9.3,0.6,9.2,16.8,Assassin
Edmund Stanley,17.2,16.2,8.3,18.4,11.2,1.4,13.8,Advisor
Marcos Luna,12.3,19.5,6.9,14.3,12.1,5.3,17.3,Recruiter
Jane Strickland,5.4,11.0,6.6,4.1,19.0,0.9,0.1,Accountant
Luis Phillips,5.4,2.7,4.2,7.4,8.6,4.8,15.5,Priest
Irving Massey,18.8,17.5,11.4,11.9,16.5,19.5,5.8,Accountant
Myra Hampton,16.4,16.0,8.7,5.2,12.2,3.7,2.8,Accountant
Dana Turner,8.6,3.9,15.7,7.5,4.3,4.0,17.0,Assassin
Dwight Williams,6.2,2.0,4.0,7.3,13.0,10.6,0.8,Accountant
Stephanie French,8.4,4.1,6.9,13.5,10.1,0.0,9.7,Accountant
Vickie Weaver,12.2,16.1,3.1,14.5,11.6,9.9,16.3,Recruiter
Alexandra Hodges,8.6,7.2,6.6,10.5,16.9,8.8,2.6,Accountant
Laura Stanley,0.3,19.5,3.5,3.3,15.9,11.3,4.6,Recruiter
Minnie Doyle,11.9,15.3,9.1,5.2,8.5,11.5,15.7,Enforcer
Melanie Barnett,15.1,1.5,4.1,17.7,16.5,3.5,13.1,Accountant
Leigh Barnes,17.2,18.3,9.2,13.1,9.1,9.3,18.7,Recruiter
Lora Ball,0.6,16.1,17.3,6.6,19.3,19.2,10.5,Enforcer
Lila Sandoval,17.8,11.1,16.0,11.4,7.0,11.3,14.9,Assassin
Vernon Sparks,6.1,2.4,19.9,9.7,8.9,19.4,5.6,Enforcer
Wallace Baldwin,14.2,11.3,15.0,14.1,13.0,14.4,8.4,Accountant
Kristy Gregory,18.9,10.8,8.7,3.4,14.8,2.9,19.4,Recruiter
Jack Wong,7.4,18.9,11.2,4.5,6.3,18.5,1.0,Enforcer
Wendell Murphy,16.1,4.4,14.9,12.4,7.9,4.0,1.5,Accountant
Jacob Cox,9.7,1.0,17.9,7.7,8.1,10.8,7.9,Assassin
Kathy Ryan,8.7,3.2,12.8,3.1,2.0,11.7,2.7,Enforcer
Alyssa Edwards,2.3,17.8,14.2,4.0,17.7,3.7,12.6,Recruiter
Diana Hunt,17.4,1.1,5.2,5.4,14.0,4.8,0.3,Accountant
Maurice Cole,16.7,16.4,19.0,18.9,16.2,7.7,1.3,Accountant
Cody Erickson,12.9,12.8,9.4,1.4,14.8,5.9,12.4,Recruiter
Vicky Adkins,17.5,7.7,19.3,19.2,11.2,18.1,17.9,Assassin
Shelia Sanchez,6.9,1.8,18.0,8.1,4.2,7.8,6.4,Assassin
Rick Mack,19.7,2.8,13.6,11.3,8.2,8.4,7.6,Assassin
Tanya Moran,7.3,1.2,2.6,17.1,6.5,7.2,13.2,Priest
Katherine Watkins,6.8,18.1,8.0,0.7,17.5,0.6,1.0,Accountant
Jerome Knight,0.2,3.8,1.1,7.9,6.7,10.7,16.5,Priest
Ella Lee,18.0,2.0,17.5,10.2,12.3,11.2,0.0,Accountant
Herbert Joseph,9.9,13.9,11.5,3.7,15.0,0.3,1.4,Accountant
Israel Terry,19.1,6.5,10.6,13.6,15.4,2.0,0.0,Accountant
April Jefferson,3.8,5.8,8.8,19.1,8.8,1.4,15.8,Priest
Sue Ray,7.0,9.9,0.5,9.4,5.2,7.5,7.5,Advisor
Lydia Pena,16.8,17.7,7.3,15.9,13.2,16.5,7.2,Advisor
Wanda Walsh,14.3,16.3,16.7,8.8,17.5,1.3,7.3,Accountant
